Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Correbidia_germana_1274,EcEs-Lep-00234,4.89,11.24,0.43,12.81,79.88,2.05,108,66,,,,
Erebidae: Arctiinae,Correbidia_sp_21,EcEs-Lep-00021,7.5,14.05,0.53,17.73,130.18,2.42,69,40,,,,
Erebidae: Arctiinae,Correbidia_sp_779,EcEs-Lep-00019,9.22,17.9,0.51,18.4,115.4,2.93,71,63,,,,
Erebidae: Arctiinae,Correbidia_sp_780,EcEs-Lep-00017,6.01,12.36,0.49,13.72,72.27,2.6,47,26,,,,
Erebidae: Arctiinae,Correbidia_sp_780,EcEs-Lep-00027,6.59,12.7,0.52,14.38,77.61,2.66,46,24,,,,
Erebidae: Arctiinae,Correbidia_sp_780,EcEs-Lep-00373,6.39,13.08,0.49,18.06,130.24,2.51,66,36,,,,
Erebidae: Arctiinae,Correbidia_sp_781,EcEs-Lep-00842,6.77,17.66,0.38,19.14,142.71,2.57,94,65,PL: average from all measured Correbidias,,,
Erebidae: Arctiinae,Correbidia_sp_781,EcEs-Lep-09223,6.77,16.29,0.42,16.25,92.35,2.86,74,51,,,,
Erebidae: Arctiinae,Cosmosoma_(cf)_nr_xanthostictum_793,EcEs-Lep-00104,7.14,10.59,0.67,15.42,79.37,3,86,139,,,,
Erebidae: Arctiinae,Cosmosoma_cf_remotum_795,EcEs-Lep-00820,7.74,10.52,0.74,13.67,64.1,2.92,71,121,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_cf_teuthras_1427,EcEs-Lep-08529,7.74,12.22,0.63,17.3,96.2,3.11,100,74,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_klagesi_310,EcEs-Lep-00009,8.56,11.53,0.74,16.13,97.36,2.67,62,166,,,,
Erebidae: Arctiinae,Cosmosoma_klagesi_310,EcEs-Lep-00203,8.8,11.91,0.74,16.18,89.48,2.93,98,155,,,,
Erebidae: Arctiinae,Cosmosoma_nr_angustimargo_2002,EcEs-Lep-00149,7.84,10.39,0.75,15.13,76.89,2.98,120,146,,,,
Erebidae: Arctiinae,Cosmosoma_nr_angustimargo_2002,EcEs-Lep-00328,7.89,11.71,0.67,17.25,107.08,2.78,103,152,,,,
Erebidae: Arctiinae,Cosmosoma_parambae_787,EcEs-Lep-00279,9.77,12.08,0.81,18.41,116.39,2.91,94,130,,,,
Erebidae: Arctiinae,Cosmosoma_saron_1124,EcEs-Lep-00183,6.91,10.64,0.65,13.23,59.7,2.93,112,132,,,,
