Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0423,Rubiaceae,Palicourea,Palicourea_cf._Tomentosa,SubshrubOrShrub,10,14.8,2,Tubulate,Red,Yellow,Actinomorphic,Ornithophil,Nectar,15
M0424,Gesneriaceae,NA,NA,NA,10,54.3,18.1,Campanulate,NA,NA,Zygomorphic,Melittophil,Nectar,3
M0425,NA,NA,NA,NA,10000,1.8,1.2,NA,White,Yellow,Zygomorphic,NA,NA,2
M0426,Ericaceae,Macleania,cf._Macleania_sp._3,EpiphyticSchrub,100,NA,NA,Tubulate,Pink,White,Actinomorphic,Ornithophil,Nectar,4
M0427,Melastomataceae,NA,NA,NA,1000,4.3,4,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,3
M0428,Cucurbitaceae,Gurania,Gurania_cf._Eriantha,Climber,100,8.9,5.5,Tubulate,Red,Yellow,Actinomorphic,Ornithophil,Nectar,1
M0429,Piperaceae,Peperomia,Peperomia_pernambucensis,Epiphyte,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,4
M0430,Melastomataceae,Miconia,Miconia_sp._14,SubshrubOrShrub,10,4.2,1.8,Cyanthiform,White,Green,Zygomorphic,Melittophil,Pollen,2
M0431,Fabaceae,NA,NA,NA,1000,8.1,4.4,Papilionate,Yellow,NA,Zygomorphic,Melittophil,Nectar,1
M0432,Rubiaceae,Palicourea,Palicourea_cf._Acuminata,SubshrubOrShrub,100,5,1.1,Tubulate,White,NA,Actinomorphic,Phalenophil,Nectar,1
M0433,Araliaceae,Sciodaphyllum,Sciodaphyllum_cf._Sphaerocoma,Tree,10000,NA,NA,Brushform,Yellow,Green,Actinomorphic,SDI,Nectar,1
M0434,Gesneriaceae,Napeanthus,Napeanthus_robustus,HerbGeneral,10,1.8,5.3,Crateriform,Purple,White,Actinomorphic,Melittophil,Nectar,49
M0435,Melastomataceae,Monolena,Monolena_primuliflora,Epiphyte,10,4,3.5,Crateriform,White,Yellow,Actinomorphic,Melittophil,Pollen,7
M0436,Orchidaceae,Scaphyglottis,Scaphyglottis_prolifera,Epiphyte,10,4.1,1.2,OrchidFlower,White,NA,Zygomorphic,Melittophil,Nectar,2
M0437,Orchidaceae,Trichopilia,Trichopilia_cf._Subulata,Epiphyte,10,6.6,2.3,OrchidFlower,White,Purple,Zygomorphic,Melittophil,Nectar,1
M0438,Meliaceae,Carapa,Carapa_megistocarpa,Tree,10000,2.2,1.2,Rotate,White,Green,Actinomorphic,SDI,Nectar,1
M0439,NA,NA,NA,NA,100,NA,NA,NA,Green,NA,NA,NA,NA,1
M0440,NA,NA,NA,NA,100,NA,NA,NA,Pink,Red,NA,NA,Pollen,1
M0441,Melastomataceae,Blakea,cf._Blakea_sp._5,NA,100,NA,NA,Rotate,NA,Pink,Zygomorphic,NA,Pollen,2
M0442,Melastomataceae,Blakea,cf._Blakea_sp._6,NA,100,7.4,12.2,Rotate,NA,Pink,Zygomorphic,NA,Pollen,1
M0443,NA,NA,NA,NA,100,0,6.6,Crateriform,Yellow,NA,Actinomorphic,NA,NA,1
M0444,Melastomataceae,Miconia,cf._Miconia_sp._15,SubshrubOrShrub,10,1.4,1.5,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,1
M0446,Urticaceae,Coussapoa,Coussapoa_villosa,Tree,10000,0,0.4,Capitulate,White,NA,Actinomorphic,SDI,Nectar,1
M0447,Maranthaceae,NA,NA,HerbGeneral,1,NA,NA,Tubulate,White,Purple,Zygomorphic,Ornithophil,Nectar,1
M0448,NA,NA,NA,NA,100,45.9,6.4,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0449,Asteraceae,Vernonanthura,Vernonanthura_patens,Tree,10000,NA,NA,Capitulate,White,NA,Actinomorphic,"Phalenophil, Melittophil",Nectar,1
M0450,Euphorbiaceae,Croton,Croton_lechmani,Tree,1000,NA,NA,Brushform,White,NA,Actinomorphic,Melittophil,Nectar,1
