Plot_ID,Latitude,Longitude,Reassembly,Elevation,Treatment,Treatment2,Regeneration_year,elev_30m_dem,slope,aspect,solar_annual,TWI,TPI,TRI,conv.ind,Forest_1km,Forest_500m,Forest_100m,Forest_1km_JRC_TMF,Distance_forest,Distance_edge,Patch_ha,Cacao_1km,Cacao_Reg1_1km,Cacao_Reg2_1km,Pasture_1km,Pasture_Reg1_1km,Pasture_Reg2_1km,Oil_Palm_1km
OG44,0.47434948,-79.19810902,1,339,old-growth forest,old-growth forest,NA,360.6438904,14.24655904,329.8993952,1794721.375,1.78726685,1.209076819,6.706743347,-26.09508062,0.934859506,0.977351942,0.999999602,0.969266445,0,302.6795587,0,0,0,0.009881687,0.038513012,0,0.016745801,0
OG45,0.47786124,-79.20347555,1,362,old-growth forest,old-growth forest,NA,374.7332458,3.802649339,231.2003472,1850572.75,2.815466166,0.451090276,1.862660945,-24.27872515,0.931709312,0.895027054,0.725035937,0.971953747,0,35.81111942,0,0,0,0.009881687,0,0,0.058409002,0
OG46,0.47797846,-79.19469459,1,288,old-growth forest,old-growth forest,NA,295.4145508,4.082702358,65.23476672,1823139,10.56953239,-2.564299451,3.789914,-27.77962731,0.980935664,0.996507925,0.999999768,0.979291612,0,463.8968601,0,0,0,0.004934941,0.001570218,0,0.012559178,0
OG47,0.48465799,-79.21398287,1,355,old-growth forest,old-growth forest,NA,359.2892456,10.07538311,180.2253064,1825076,2.781635523,-0.088932673,4.470556865,-20.59883815,0.748877899,0.653391803,0.955818599,0.837604978,0,82.05557206,0,0.001597113,0,0.013636998,0,0,0.235887987,0
OG48,0.53088989,-79.14462944,1,299,old-growth forest,old-growth forest,NA,309.8608398,11.911593,56.45122849,1788089.75,3.045748949,-3.838876107,6.362462113,-40.26135983,0.998221121,1,0.999999758,0.997985413,0,942.6326571,0,0.000612661,0.000438851,0,0.000727372,0,0,0
OG49,0.5315347,-79.14780642,1,310,old-growth forest,old-growth forest,NA,300.4064636,10.54826787,81.45635558,1800846,1.730674386,1.763612429,4.914398796,-39.68061326,0.98936996,0.999999946,0.999999656,0.991137415,0,858.3926876,0,0.004224704,0.000236995,0,0.006167703,6.38E-07,0,0
OG50,0.53403036,-79.14419137,1,316,old-growth forest,old-growth forest,NA,307.6442566,19.33320207,167.2594758,1737525.25,1.323209047,3.27320511,8.595206068,-40.0955022,0.932094539,0.999999961,0.99999985,0.965853942,0,607.9661746,0,0.01923022,0.000878625,0,0.017137059,0.030659553,0,0
OG51,0.55223173,-79.1374752,1,228,old-growth forest,old-growth forest,NA,241.2322998,9.232222156,169.8616873,1805743.25,3.917193174,-1.233822295,4.098183047,-39.48460573,0.828437335,0.969384032,0.999999722,0.921385123,0,413.9921516,0,0,0,0,0.101275302,0.028061313,0.042226049,0
OG52,0.54567888,-79.13756064,1,225,old-growth forest,old-growth forest,NA,238.126358,13.27820485,233.1341987,1779359.625,2.369433165,0.190778979,5.605486984,-40.08327685,0.875339898,0.946068453,0.999999755,0.936372357,0,221.0000864,0,0.003657724,0.000830739,0,0.038544299,0.081627348,0,0
OGZ04,0.409508,-79.253342,0,160,old-growth forest,old-growth forest,NA,166.5183411,4.361375086,311.1738707,1812758,2.933170319,-0.45032304,1.68650768,-2.374105886,0.051897325,0.043667623,0.58071709,0.967716519,0,40.1636898,0,0,0,0,0,0,0,0
