sp_ageF,sp_ageF_b,toughness_N,thickness_mm,SLA,LDMC,coment
Carapa_sp1_old_PR,Carapa_megistocarpa_old_PR,7.806666667,0.18175,15.1863579,447.1028276,
Cecropia_sp1_OG,Cecropia_sp1_OG,1.19,0.068666667,47.21002305,205.9962777,
Banara_sp1_young_PR,Banara_sp1_young_PR,1.867407407,0.144915278,33.31944527,251.1535902,
Inga_oerstediana_old_PR,Inga_oerstediana_old_PR,2.136666667,0.133666667,25.56797513,337.2188051,
Inga_sp4_OG,Inga_sp4_OG,2.367103896,0.132976299,29.69779489,334.9281944,
Inga_sp5_old_PR,Inga_silanchensis_old_PR,2.367103896,0.132976299,29.69779489,334.9281944,
Inga_sp6_OG,Inga_sp6_OG,2.367103896,0.132976299,29.69779489,334.9281944,
Iriartea_deltoidea_old_PR,Iriartea_deltoidea_old_PR,9.88117284,0.206013889,18.29731785,285.9903368,
Pseudolmedia_rigida_OG,Pseudolmedia_rigida_OG,2.987488889,0.155395,30.31850557,295.0880214,
Virola_sp2_AC,Virola_sp2_AC,2.767703704,0.188592593,24.94875025,206.8541538,
Wettinia_quinaria_young_CR,Wettinia_quinaria_young_CR,4.917905983,0.174280449,25.54670455,249.2781144,
Melas_extra_separated_nerve_young_PR,Miconia_laxivenula_young_PR,1.701111111,0.207583333,26.08264284,245.2849481,
Melas_red_petiol_young_CR,Miconia_conocuatrecasii_young_CR,0.83,0.1125,47.50603832,129.9115332,
Melas_light_brown_stem_old_PR_&_Miconia_centronioides_old_PR,Miconia_affinis_old_PR,1.164666667,0.1594,14.41069616,356.3050247,
Miconia_centronioides_AP,Miconia_affinis_AP,1.164666667,0.1594,14.41069616,356.3050247,
Morph080_old_PR,Tapirira_guianensis_old_PR,1.871944444,0.114666667,34.36010802,244.9866116,
Morph100_OG,Annona_papilionella_OG,2.362222222,0.1455,35.33229895,251.1890147,
Morph112_OG,Morph112_OG,1.57,0.283,27.22933294,150.9273183,
Morph118_old_PR,Sorocea_sarcocarpa_old_PR,1.983888889,0.128,26.93180729,333.1243303,
Morph121_OG,Morph121_OG,1.736944444,0.113125,46.63276707,217.1871975,
Plinia_sp2_OG,Psychotria_OG,2.83,0.173375,24.31668695,205.3864375,
