sp_ageF,plot,subplot,tag_number,species,status,index,toughness_N,thickness_mm,SLA,LDMC
Guarea_kunthiana_OG,OG41,UD3,2134,Guarea_kunthiana,alive,4413,NA,NA,NA,NA
Guarea_kunthiana_OG,OG43,UU4,7636,Guarea_kunthiana,alive,5072,NA,NA,NA,NA
Guarea_kunthiana_OG,OG43,UU4,7635,Guarea_kunthiana,alive,5073,NA,NA,NA,NA
Guarea_kunthiana_old_PR,PR21,FU2,5044,Guarea_kunthiana,dying,NA,NA,NA,NA,NA
Guarea_kunthianaNA,OG28,UU4,7657,Guarea_kunthiana,alive,5026,NA,NA,NA,NA
Guion_old_PR,PR24,UU1,7423,Guion,alive,4933,NA,NA,NA,NA
Heisteria_concinna_old_CR,CR14,FU1,7354,Heisteria_concinna,alive,4765,NA,NA,NA,NA
Heisteria_concinnea_OG,OG49,FD1,4294,Heisteria_concinnea,alive,4503,NA,NA,NA,NA
Heisteria_pacifica_OG,OG39,FD1,3019,Heisteria_pacifica,alive,3550,NA,NA,NA,NA
Heisteria_pacifica_OG,OG41,UD3,5101,Heisteria_pacifica,alive,4061,NA,NA,NA,NA
Heisteria_pacifica_young_CR,CR09,FD2,7292,Heisteria_pacifica,alive,4021,NA,NA,NA,NA
Heisteria_pacifica_young_CR,CR13,UU1,4050,Heisteria_pacifica,alive,3860,NA,NA,NA,NA
Heisteria_sp_OG,OG46,UU1,1616,Heisteria_sp,alive,4328,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7186.1,Heisteria_sp,alive,4211,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,6152,Heisteria_sp,alive,4366,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG41,FU1,2132,Heisteria_sp,alive,4068,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7127,Heisteria_sp,alive,4326,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,6185,Heisteria_sp,alive,4241,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1648,Heisteria_sp,alive,4301,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6192,Heisteria_sp,alive,4268,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7177,Heisteria_sp,alive,4220,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7170,Heisteria_sp,alive,4227,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6187,Heisteria_sp,alive,4265,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG49,FU1,1206,Heisteria_sp,alive,4530,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG42,UU1,6140,Heisteria_sp,alive,4388,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG49,FU1,1195,Heisteria_sp,alive,4521,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7158,Heisteria_sp,alive,4271,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7156,Heisteria_sp,alive,4273,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7164,Heisteria_sp,alive,4233,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7116,Heisteria_sp,alive,4346,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7142,Heisteria_sp,alive,4288,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG49,UU1,6149.2,Heisteria_sp,alive,4364,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7124,Heisteria_sp,alive,4339,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,1615,Heisteria_sp,alive,4347,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,4083,Heisteria_sp,alive,4247,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7120,Heisteria_sp,alive,4341,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7169,Heisteria_sp,alive,4228,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7188,Heisteria_sp,alive,4208,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7147,Heisteria_sp,alive,4283,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG41,FU1,1818,Heisteria_sp,alive,4071,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7109,Heisteria_sp,alive,4337,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG41,FD2,4230,Heisteria_sp,alive,4014,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1634,Heisteria_sp,alive,4308,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1650,Heisteria_sp,alive,4296,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7162,Heisteria_sp,alive,4235,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6177,Heisteria_sp,alive,4250,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,6159,Heisteria_sp,dying,4378,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG49,FU3,1221,Heisteria_sp,alive,4486,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1652,Heisteria_sp,alive,4295,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7115,Heisteria_sp,alive,4379,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6175,Heisteria_sp,alive,4252,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7190,Heisteria_sp,alive,4206,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,6148,Heisteria_sp,alive,4361,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6173,Heisteria_sp,alive,4253,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,6139,Heisteria_sp,alive,4389,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1651,Heisteria_sp,alive,4297,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG42,UU1,6156,Heisteria_sp,alive,4371,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG42,UU1,6138,Heisteria_sp,alive,4387,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6167,Heisteria_sp,alive,4262,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6182,Heisteria_sp,alive,4244,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG49,FU1,1207,Heisteria_sp,alive,4528,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7167,Heisteria_sp,alive,4230,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,6151,Heisteria_sp,alive,4367,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7143,Heisteria_sp,alive,4287,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,1657,Heisteria_sp,alive,4299,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7180,Heisteria_sp,alive,4217,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7144,Heisteria_sp,alive,4286,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7126,Heisteria_sp,alive,4368,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU3,7150,Heisteria_sp,alive,4280,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,7175,Heisteria_sp,alive,4222,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU2,1626,Heisteria_sp,alive,4323,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU1,7133,Heisteria_sp,alive,4354,2.986805556,0.151152778,27.00979641,322.1170611
Heisteria_sp_OG,OG46,UU4,6171,Heisteria_sp,alive,4258,2.986805556,0.151152778,27.00979641,322.1170611
