"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
2,"PR21","CF","01/08/22","M65",1,"Compsoneura","Compsoneura_mutisii","blast.sebas.class","zoochory","genus","genus/fruit morphology"
2,"PR21","FD","01/08/22","M51",9,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
2,"CA62","C","02/08/22","M29",3,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"CA62","C","02/08/22","M32",8,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
2,"CA62","CF","02/08/22","M30",7,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CA62","FD","02/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CA62","FD","02/08/22","M31",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CA62","FD","02/08/22","M32",1,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
2,"CR05","C","02/08/22","M3",27,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR05","C","02/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR05","C","02/08/22","M29",4,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"CR05","CF","02/08/22","M3",1,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR05","CF","02/08/22","M29",19,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"CR05","D","02/08/22","M3",5,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR05","D","02/08/22","M66",2,"Sciodaphyllum","Sciodaphyllum_pedicillatum","blast.sebas.class","","",""
2,"CR05","FD","02/08/22","M3",8,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR05","FD","02/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR05","FD","02/08/22","M29",37,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"CR05","FD","02/08/22","M43",3,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"CR05","FD","02/08/22","M46",1,"Sciodaphyllum","Sciodaphyllum_pedicillatum","blast.sebas.class","","",""
2,"PR22","C","02/08/22","M26",2,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","C","02/08/22","M29",11,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"PR22","C","02/08/22","M43",2,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","CF","02/08/22","M1",21,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","CF","02/08/22","M26",1,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","CF","02/08/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"PR22","CF","02/08/22","M37",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"PR22","D","02/08/22","M26",14,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","D","02/08/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"PR22","D","02/08/22","M38",1,"Piper","Piper_grande","blast.sebas.class","zoochory","genus","field_observation"
2,"PR22","D","02/08/22","M38",1,"Piper","Piper_grande","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","D","02/08/22","M43",3,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","FD","02/08/22","M1",13,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","FD","02/08/22","M26",3,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"PR22","FD","02/08/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
2,"CR10","CF","04/08/22","M3",1,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR10","CF","04/08/22","M12",13,NA,NA,"vsearch.viri.class",NA,NA,NA
