"Treatment3","Plot_ID","RegTime","ConIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","PA56",0,-0.481024397959744,1.81201783558076,0.0866255977919917,-0.668334579377202,1.78437786970245,1.07345637866102,0.0769251224303708,NA,NA,NA,0.75129140117421,-0.192891756187356,0.124941371369127,1.33079447073661,-1.62979254935525,-0.162032366176177,NA,NA,NA
"regeneration early","PA57",0,-2.1869674345491,1.32317645601879,-0.396702662733482,-0.248786916553406,1.69679735653207,1.08239895266072,0.126231164499463,NA,NA,NA,0.734586978153962,0.119347681396934,0.43102387109324,NA,NA,NA,1.97850498632008,0.501192812559876,-1.36532264093274
"regeneration early","PA58",0,-0.423272243684558,1.18985163528584,-0.0818095210436867,0.236716386168531,0.607338489622499,-0.152792715261914,0.408043332201774,NA,NA,NA,0.797711940138799,-0.187122738238848,0.137072457373638,NA,NA,NA,NA,NA,NA
"regeneration early","PR19",6,-1.43425892674568,1.37182275037241,-0.364970198585248,-0.234234753837193,0.574713316016848,-0.374582214572546,0.341455193898152,NA,NA,NA,0.787706676726796,-0.33774374609888,0.24897854941115,0.875403547680975,0.267041732534116,-0.250153297593721,0.423147617761385,-0.695525612897972,-0.190608945882271
"regeneration early","PR20",4,-0.341992908379125,1.29352950539672,-0.392761876687014,0.310202005020524,1.18727975736981,0.272351514173573,0.441080551900569,NA,NA,NA,0.967990883205885,-0.759411466599372,-0.435052707093893,NA,NA,NA,NA,NA,NA
"regeneration late","PR21",36,0.985794150144126,1.59754961159784,1.62513336499178,0.7014096441113,0.628223224557031,-0.335717998300986,0.280338320708071,0.503971381435023,-0.116116660279525,0.488659622804971,0.707370177120696,-0.377748226612778,0.112235716326583,1.4154044909542,0.823318510598681,-0.643573628507094,1.03350496965414,-0.0946391538658575,0.913700003371116
"regeneration early","PR22",12,-1.65803184216741,1.25458149490771,-0.19137455856187,-0.159548222562452,0.642113529857914,-0.227167371207577,0.179600696901703,NA,NA,NA,0.723627025277839,0.0640165612666585,0.102596314411428,0.638534240199819,-0.636030145808375,0.17811856622323,0.816616893005957,-1.51891852654757,0.506862819245072
"regeneration early","PR23",1,-0.108926254334716,1.18729939230285,-0.240960964590318,-0.1805919212262,1.44000629220289,0.565227176678386,0.291183686550481,NA,NA,NA,0.839476584837214,-0.0323267147951014,-0.447737283957367,0.628225073088858,-0.0925497512976867,-0.645302754017155,NA,NA,NA
"regeneration late","PR24",21,-1.73246101435619,0.979879184792374,0.178794416083908,-0.0853631304890478,0.809226021245651,-0.0933253678486479,0.131796229184831,NA,NA,NA,0.794976195702147,0.0352222351379538,-0.182434267290047,1.58904599755363,1.0341763630445,-0.0760749849681929,0.898746165474888,-0.0806849723822435,-0.723136155114062
"regeneration early","PR25",6,-0.334683297093071,1.19645525160392,-0.258855689664422,0.585705210377556,0.6637063590331,-0.0922195488881095,0.263787726624647,1.41758879296031,0.450100317088754,-0.114274821125417,0.968515931123745,-0.582501665540736,0.506398299088179,0.681730551598988,-0.0283470339369528,-0.357165621245903,NA,NA,NA
"regeneration late","PR26",28,0.161448270865554,1.11521728169745,0.321592781906767,0.154386677695782,0.940502158703472,-0.258624562388235,-0.0320456995676763,NA,NA,NA,0.768943768743298,0.057513013604667,0.0601420395981993,1.48306266978996,-0.722625713269403,-0.19169487854776,NA,NA,NA
"regeneration late","PR27",27,-0.150812060107662,1.14902452741303,0.880426099660553,0.298113197187319,1.0243612364606,-0.43912076823295,0.0401616286403654,NA,NA,NA,1.09062329178295,-0.494241579080158,0.713720498868655,0.895394705228855,-0.764995851203363,-0.101361870247189,NA,NA,NA
"regeneration early","PR29",6,-1.51245643884783,1.16456329491623,-0.0943919207353825,-0.501649499544607,1.03818899073534,-0.103237661194368,-0.270542819452995,NA,NA,NA,0.794717106298519,-0.368644426425456,-0.0780747148857171,0.855202820114031,-0.0861150197375122,-0.133082649136946,NA,NA,NA
"regeneration late","PR30",15,-1.28813035969995,1.2899165073061,0.338194993296707,0.299556792582532,0.866291022909612,-0.0449711690378832,0.208744295238105,NA,NA,NA,0.815807474890517,-0.179635887448124,0.117962087338242,0.906321711632166,-0.497154224037736,-0.153740274584088,NA,NA,NA
"regeneration late","PR31",16,0.0378435862980648,1.31411812141671,1.31776528723451,0.687649805618201,0.900527138552471,-0.595324296320848,0.214961468291905,NA,NA,NA,0.859819757842573,-0.517232035328685,0.0643134388279474,1.99733214837949,1.22623611569723,0.833139989371601,1.86671701220741,1.57949750611107,-0.790503381660109
"regeneration late","PR32",16,-0.563494592723397,0.835278462310222,0.0566375947563337,-0.195375303513751,0.521201958332137,-0.547677325494944,0.303594632779669,0.880764700400235,0.00364168856099559,-0.458821175565879,0.849279233159181,-0.185006211621506,-0.432734399484574,1.16652687779901,0.12695234408938,-0.326425671148845,NA,NA,NA
"regeneration early","PR33",1,-0.340748163541671,1.56551969127959,-0.369604830058022,-0.8431685070206,1.24393604566665,0.507891692258272,-0.00732529515374595,0.669768718769349,0.365603596068413,0.520653058466935,0.76856670375985,-0.318034591467145,-0.0852598159341425,0.904280177461054,-0.94974918822854,0.213365018205464,NA,NA,NA
"regeneration late","PR34",38,0.700200900910284,0.64504542562956,0.0779272763533733,0.290622987166768,1.36363426295752,0.777168837918265,-0.0649682441837354,0.551854047095027,-0.183978921754738,0.286629471140564,0.84074439381551,-0.65263027391578,0.107703091509103,1.04026312121041,0.199779068190145,-0.515551080280774,0.418515812107118,-0.204175587469971,-0.34304303410087
"regeneration early","PR36",9,0.127856234085793,1.28535820519499,-0.0182197996619447,-0.0861595678542171,1.48437707917011,-0.0890676681877097,0.464144152229463,NA,NA,NA,0.982772713597997,-0.00265573839359355,0.556515981361657,0.641072809060103,-0.0438803316427641,-0.433025247462342,NA,NA,NA
