"animal_species","prLength","bodyLength","wingLength","Genus"
"Ochrodota_sp_1077",4.56,14.02,16.16,"Ochrodota"
"Odozana_cf_inconspicua_1322",3.42,7.145,7.78,"Odozana"
"Odozana_sp_879",3.42,7.645,8.86,"Odozana"
"Ormetica_nr_contraria_1030",10.23,14.1,15.425,"Ormetica"
"Ormetica_sp_993",10.11,17.195,18.05,"Ormetica"
"Ormetica_sypilus_2013",10.3066666666667,15.98,17.35,"Ormetica"
"Oryba_kadeni_127",28.66,49.85,51.65,"Oryba"
"Pachydota_sp_1411",NA,21.78,28.08,"Pachydota"
"Pachydota_sp_nr_952",NA,19.01,24.1,"Pachydota"
"Pachylia_darceta_113",34.165,48.875,50.895,"Pachylia"
"Parathyris_cedonulli_954",5.69,20.925,26.71,"Parathyris"
"Pareuchaetes_insulata_955",5.71,12.65,12.78,"Pareuchaetes"
"Pelochyta_amyeaderae_1067",13.3425,18.435,23.17,"Pelochyta"
"Pelochyta_sp_1350",13.34,14.045,15.755,"Pelochyta"
"Pelochyta_sp_1358",13.34,15.375,21.88,"Pelochyta"
"Phaemolis_(cf)_cf_curvena_1360",11.59,17.61,20.74,"Phaemolis"
"Phaeomolis_nr_polystria_956",11.59,17.25,19.78,"Phaeomolis"
"Pheia_nr_albisigna_834",8.415,14.095,13.99,"Pheia"
"Poecilosoma_sp_785",10.94,13.9275,16.9425,"Poecilosoma"
"Poliopastea_sp_835",7.44,12.4,15.31,"Poliopastea"
"Poliopastea_sp_836",7.44,12.63,14.91,"Poliopastea"
"Prepiella_pexicera_1326",2.7,4.9325,6.2625,"Prepiella"
"Prosopidia_sp_1216",8.5,15.17,18.32,"Prosopidia"
"Protambulux_eurycles_115",34,50.81,57.08,"Protambulux"
"Protambulyx_sp_116",34,36.75,41.8,"Protambulyx"
"Pryteria_colombiana_958",NA,15.84,16.59,"Pryteria"
"Pseudalyctia_sp_844",NA,11.89,14.46,"Pseudalyctia"
"Pseudepimolis_sp_959",4.57,13.7085714285714,15.6828571428571,"Pseudepimolis"
"Pseudepimolis_sp_960",4.2,12.31,12.28,"Pseudepimolis"
"Pseudophaloe_tellinoides_906",NA,19.23,26.245,"Pseudophaloe"
"Pseudosphenoptera_nr_cocho_838",8.81,12.61,15.75,"Pseudosphenoptera"
"Psilopleura_haematica_1113",5.61,9.35,12.9866666666667,"Psilopleura"
"Psoloptera_thoracica_1228",NA,9.48,15.28,"Psoloptera"
"Rhabdatomis_sp_1055",2.64,7.42,9.248,"Rhabdatomis"
"Ripha_flammans_961",6.85,26.26,29.5,"Ripha"
"Robinsonia_deiopea_962",0.89,14.65,20.7,"Robinsonia"
"Robinsonia_sp_1349",0.89,12.82,14.955,"Robinsonia"
"Sarosa_(cf)_sp_839",NA,12.92,17.34,"Sarosa"
"Saurita_(Valvaminor)_nr_temenus_1125",6.29,12.95,15.7925,"Saurita"
"Saurita_cf_tipulina_1145",5.842,9.346,10.72,"Saurita"
"Saurita_sanguinea_1142",5.39,8.23,10.93,"Saurita"
"Saurita_sp_1394",5.95,10.33,14.22,"Saurita"
"Saurita_sp_840",5.95,7.565,8.555,"Saurita"
"Saurita_sp_998",5.95,8.89,9.86,"Saurita"
"Scaptius_asteroides_963",8.57333333333333,13.6366666666667,14.8233333333333,"Scaptius"
"Scaptius_nr_chrysopera_964",9.21,10.9,11.79,"Scaptius"
"Scaptius_nr_vinasia_965",10.165,13.9166666666667,14.31,"Scaptius"
"Sciopsyche_nr_tropica_2009",NA,12.475,17.645,"Sciopsyche"
"Selenarctia_cf_schausi_1084",10.11,19.875,21.96,"Selenarctia"
"Sutonocrea_cf_reducta_1356",NA,12.65,14.35,"Sutonocrea"
"Sychesia_naias_966",12.59,19.08,24.425,"Sychesia"
"Symphlebia_nr_perflua_967",3.26,16.155,22.19,"Symphlebia"
"Symphlebia_tessellata_1260",3.06,17.2033333333333,19.9666666666667,"Symphlebia"
"Talara_cf_lepida_1319",3.21,4.68333333333333,4.19666666666667,"Talara"
"Talara_cf_minynthadia_1336",3.44333333333333,5.40666666666667,7.48666666666667,"Talara"
"Talara_cf_violescens_1397",3.21,7.535,7.3,"Talara"
"Talara_nr_cara_884",3.59,6.49,7.305,"Talara"
"Talara_semiflava_882",3.9,6.345,8.21,"Talara"
"Talara_sp_883",1.07,3.61333333333333,4.76666666666667,"Talara"
"Telioneura_nr_glaucopsis_843",7.145,11.76,15.375,"Telioneura"
"Theages_decorum_1278",7.8,13.515,18.59,"Theages"
"Theages_sp_819",7.81,12.775,16.58,"Theages"
"Thyrgis_militta_907",9.41,13.57,23.71,"Thyrgis"
"Thysanoprymna_hampsoni_gr_2113",8.63,14.51,19.51,"Thysanoprymna"
"Trichromia_cardinalis_gr_974",8.35,13.05,15.61,"Trichromia"
"Trichromia_cf_atta_970",7.12333333333333,10.485,11.8875,"Trichromia"
"Trichromia_cf_metapyria_1417",8.32,16.14,17.21,"Trichromia"
"Trichromia_nr_discophora_973",12.74,17.9666666666667,18.6066666666667,"Trichromia"
"Trichromia_nr_rhodocraspis_971",8,11.405,14.315,"Trichromia"
"Trichromia_sp_1416",8.32,11.88,14.17,"Trichromia"
"Trichromia_sp_969",9.17333333333333,11.7825,13.445,"Trichromia"
"Trichromia_sp_972",6.4,8.45333333333333,10.22,"Trichromia"
"Trichromia_sp_975",8.32,9.2,11.2,"Trichromia"
"Trichromia_sp_976",8.32,10.095,10.355,"Trichromia"
"Trichromia_sp_977",8.32,9.945,11.52,"Trichromia"
"Trichromia_sp_978",8.92,10.805,12.515,"Trichromia"
"Tricypha_imperialis_980",9.48,14.24,16.09,"Tricypha"
"Uranophora_walkeri_1176",5.96,11.23,13.885,"Uranophora"
"Virbia_spp_766",0.1,11.3714285714286,15.4628571428571,"Virbia"
"Watsonidia_reimonan_982",8.63,14.08,15.27,"Watsonidia"
"Xenosoma_cf_bryki_908",NA,16.45,22.69,"Xenosoma"
"Xylophanes_corpus_124",27.385,37.42,33.615,"Xylophanes"
"Xylophanes_loelia_121",36.92,40.54,32.78,"Xylophanes"
"Xylophanes_small_nr_143",38.59,41.91,37.61,"Xylophanes"
"Xylophanes_sp_118",45.5,53.19,45.56,"Xylophanes"
"Xylophanes_sp_123",34.07,47.78,41.13,"Xylophanes"
"Xylophanes_sp_136",30.5,39.22,33.17,"Xylophanes"
"Xylophanes_sp_139",32.1,49.36,41.31,"Xylophanes"
"Xylophanes_sp_143",31.6,24.57,35.04,"Xylophanes"
"Xylophanes_thyelia_117",28.86,27.68,24.06,"Xylophanes"
"Xylophanes_titana_120",32.56,42.03,33.45,"Xylophanes"
"Xylophanes_zurcheri_122",43.8,47.48,43.1,"Xylophanes"
"Zatrephes_sp_983",1,15.725,19.765,"Zatrephes"
"cf_Metaxantha_atribasis_1365",NA,13.79,14.19,"cf"
"Hypanthidioides_sp",NA,NA,NA,"Hypanthidioides"
"Megachile_cf_amparo",NA,NA,NA,"Megachile"
"Agylla_sp_859",8.32858333333333,11.8977666666667,16.0046666666667,"Agylla"
"Balbura_cf_dorsigiana_894",8.38,11.4,14.06,"Balbura"
"Brachyglene_cf_schausi",NA,NA,NA,"Brachyglene"
"Episcepsis_hypoleuca_gr_803",7.4575,13.236875,15.859375,"Episcepsis"
"Episcepsis_hypoleuca_gr_804",7.4575,13.236875,15.859375,"Episcepsis"
"Kirrostola_sp_nr_940",8.555,12.6,13.4266666666667,"Kirrostola"
"Telioneura_nr_glaucopis_843",7.145,11.76,15.375,"Telioneura"
"Protambulyx_eurycles_115",34,36.75,41.8,"Protambulyx"
