"Treatment3","Plot_ID","RegTime","ConIndex","StrIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","CR16",8,0.0486689936452977,-0.548282312037684,1.47558995864209,-0.52636092547557,-0.236319154091503,0.923337721592082,-0.277783991108422,0.0920432791105149,NA,NA,NA,0.732401940614779,-0.303410568968201,-0.0151775724603026,1.28065307560431,-1.30383878580268,-0.5547455780107,NA,NA,NA
"regeneration early","CR17",9,0.0331361427499809,0.0648122327445706,1.0503992379329,0.358467944898975,-0.0934994195584025,0.541988130787013,0.530900814457729,-0.420406561560491,0.426165380862923,-0.146669067725194,-0.379379511868068,1.12606415877282,0.562892070942123,-0.915448783990766,1.60732075244142,-0.72396863342542,-0.323075021846141,NA,NA,NA
"regeneration early","CR18",10,0.331708612851551,0.214865384647985,1.01559901759379,0.517235314877754,0.0211754361917427,0.78431733107443,-0.202291539837944,-0.143534761081597,NA,NA,NA,0.977451914032216,0.0431918615218023,0.0323300600366103,0.812895825629691,-0.792483888501033,-0.524575708298938,1.05347078189439,-1.96599074480184,-0.329125254528319
"old-growth forest","OG28",55,-0.0247949236115353,1.03755193828082,1.63087976869428,-1.01625525898257,-0.143982629574697,0.793484826855699,-0.326919363746877,0.0877122544624867,1.01861186801403,-0.0542819497973,-0.0802431744254918,1.66729351964359,0.35531704993195,-0.713039314952791,1.80790020589735,0.832466172492922,1.2421279914602,NA,NA,NA
"old-growth forest","OG37",55,0.340396206973627,1.17339921441494,1.07003251917021,0.00479838644222357,-0.717832135527644,0.850136052987919,-0.111153069463639,-0.217043851204249,0.828381875636542,-0.144817425201588,0.446737952637029,1.57753719193854,-0.68787238722084,1.16622758191694,2.02691510180632,0.044988142119873,0.289303071274268,1.10088933737723,0.11532553402494,-0.751110056811255
"old-growth forest","OG38",55,1.0854722370435,0.562680425554595,1.05281964664262,0.679576737162338,-0.157654458565023,1.25864242115442,0.794583527650249,-0.366200931674947,1.73174154852482,-0.179635319011454,1.97099997868994,1.3710682151356,0.0837441502777177,0.0830310217353417,0.625227271305471,0.802418785534663,-0.468704221784075,NA,NA,NA
"old-growth forest","OG39",55,1.51809580564338,1.00844451484913,1.21603772622755,0.657147198736948,-0.419039921543086,1.0092440705809,0.377015081632655,-0.343131127997391,NA,NA,NA,0.805677541945749,0.124418896166915,-0.367712279355633,1.33870822248293,0.498792111449945,-0.393539637118613,0.979210200422969,1.23848833181812,0.211425947358141
"old-growth forest","OG40",55,1.5961430300052,1.21971756811903,1.3929171917236,-0.85752817529237,-0.646237427434099,1.46660850612013,-0.116924697424945,1.09699372744683,NA,NA,NA,1.46111006248874,-0.499426974155319,0.961539200571978,1.82913417432939,0.626696545490491,0.45080019159504,2.04161682489973,-1.13499819165878,0.936845800910522
"old-growth forest","OG41",55,0.894852559959802,1.40460973570379,1.28373615957939,0.163138982706256,-0.232242536468633,0.809940278232182,0.0590071096904154,0.204538544133798,NA,NA,NA,0.75607907440728,-0.243616963707042,-0.423770234250468,1.40978074061379,1.83253888524696,0.602555587133713,0.484661277017706,0.161832553472595,-0.0521090100970021
"old-growth forest","OG42",55,0.450504056521015,1.17245149954159,1.2389046984926,0.183172992237455,-0.366979509629544,0.809504556607406,-0.360823216055542,-0.0949469497187641,1.72510473985537,-0.096011349848573,1.96686761143422,1.10823968145349,-0.17589499424773,-0.793719206154948,0.937659102543972,1.50991103870216,0.739331030470237,0.530492842990251,0.58675578598207,-0.170363895310396
"old-growth forest","OG43",55,0.270765030061607,1.22433717194154,1.35116146428724,-0.232818745407771,-0.38798039749476,0.924414448003046,-0.0920285875732389,0.108887244614371,NA,NA,NA,0.922915871696389,-0.290090546574646,-0.0135027565432574,1.25202502534798,0.845888588876932,0.175298373728944,1.62635579289652,0.245413564833758,1.34424942199489
"old-growth forest","OG44",55,1.21691554706138,1.18286104777881,1.18934144574615,1.08325025824539,-0.856497182043275,1.60762961912608,-0.48411138697201,-0.353154535793093,NA,NA,NA,NA,NA,NA,1.02191237476099,0.681343711848942,-0.654420171043975,NA,NA,NA
"old-growth forest","OG45",55,0.881646325833022,0.910514773716497,1.20053838232347,0.644806592119478,0.0220376178915608,0.686182616234784,-0.1862860047812,-0.365658874608198,NA,NA,NA,0.434691292758544,0.0321289063628235,0.285670954478654,0.870289906638154,0.35686214270539,0.0930953669393455,1.1338304457718,-0.846628513446727,0.246504449641952
"old-growth forest","OG46",55,1.44534900518888,0.977916291189188,1.36187195537349,0.263983029099162,-0.0808850726384523,0.433870064927975,-0.366706961981445,-0.366150149672233,NA,NA,NA,0.936037949779944,-0.241312744802435,-0.813517839524726,1.79470654657318,1.72403497507128,1.15487230308727,NA,NA,NA
"old-growth forest","OG47",55,0.314499390465038,0.968973740694397,1.21095762523544,0.169925768530911,0.145781205692177,0.809202622137364,-0.389360573812437,0.115250391304623,NA,NA,NA,1.04689206556621,-0.637291927108262,0.0983989291093156,1.03277777665016,1.35502737042622,-0.226432282167472,1.17112054194297,0.959105419393349,-0.463361296939349
"old-growth forest","OG48",55,1.726701983022,1.20515537203134,0.697784628176191,0.238080606726317,-0.0917763922284378,1.75113866459657,-0.387972282797918,0.615273039693498,NA,NA,NA,0.676452191417968,-0.216308143710638,-0.13951392908824,1.60013063620532,1.04007251485994,0.320658156458531,0.613520133685137,-0.262569880618629,-0.244289070341414
"old-growth forest","OG49",55,1.65147895283812,1.15966147820584,1.20204784232766,0.392781319371611,-0.262858899255845,1.28406092579452,-0.683418993764652,0.204796758443401,1.45040896957497,-0.0229171388398073,-1.20724322844402,1.09438392177091,-0.090892293343753,0.692675584734768,2.16449795094819,-0.357072801461609,-0.189570993887863,0.860925826046681,0.494255603751216,-0.229826188160322
"old-growth forest","OG50",55,1.31375751145613,0.74037802748548,0.816045751366701,0.0141855862811875,-0.127785237780961,0.433557469740379,-0.0939993850298144,-0.382662489740512,NA,NA,NA,1.12860572696558,0.155958215154709,-0.212311282593526,1.4175716000402,0.673052701460598,0.300618789410919,1.48031803703551,-0.414603662711743,0.263975338513106
"old-growth forest","OG51",55,0.939315725653571,1.2184708708172,1.06790918113247,-0.468198113707194,-0.145625836776477,0.676339880725111,-0.201104442832891,-0.0965503208008142,NA,NA,NA,3.25130720282992,-0.40676488629244,3.29541716130377,1.40650979244651,1.38177803588965,0.316028631747717,0.901552070325402,0.814282180256864,0.0232628131200135
"old-growth forest","OG52",55,0.944784901957909,1.08187894236215,1.60374162837799,0.322035140672698,0.12351884538614,1.1075054945208,-0.0025432415274829,0.225148117083623,NA,NA,NA,1.55169617196278,1.07418655899487,-0.300297442945863,2.08437765983304,1.77866649509653,1.17496554345021,1.09368240982172,0.784473306563433,-0.88587459211847
"regeneration early","PA53",0,0.321021193602675,-1.38381852339199,1.51712083122478,-0.661262749508725,0.619810819940839,1.05983636386378,0.124540929847828,-0.199259417425138,NA,NA,NA,NA,NA,NA,0.623334749164803,-0.940043116778857,-0.377588023119715,NA,NA,NA
"regeneration early","PA54",0,-0.367146515997465,-1.39874643601952,1.63473488250489,0.492864654929486,0.113213336222013,1.73460245074204,0.152174488438695,0.208760941266865,1.049306101632,-0.511116088046433,-0.900825979871729,1.28123187622281,0.0467246315215702,1.06458532309431,NA,NA,NA,NA,NA,NA
"regeneration early","PA55",0,0.45129256937724,-1.57837638205407,1.57232774167126,0.0521099276083334,-0.306186135212853,0.743551779150042,0.0649836030433275,-0.0702012186922828,NA,NA,NA,3.17843584731268,0.51542820516088,3.18857258099021,NA,NA,NA,NA,NA,NA
"regeneration early","PA56",0,-0.481024397959746,-1.77934445993282,1.7728814986073,-0.0971407180342433,1.08056114593803,1.71625774896524,1.03133849594144,0.0793797633168502,NA,NA,NA,0.791714396733505,-0.501120167659792,-0.222783377202304,1.38001147085006,-1.71325047637086,-0.971369226103436,NA,NA,NA
"regeneration early","PA57",0,-2.1869674345491,-1.08339918508328,1.23980318519879,-0.43463153818601,0.229616739182513,1.61964453632305,1.03536176535104,0.0372978795860701,NA,NA,NA,0.740342430151851,0.536572805801894,0.485674855707431,NA,NA,NA,1.86093602939471,0.576953927734926,-1.37542304390612
"regeneration early","PA58",0,-0.423272243684557,-1.04779543134027,1.06926333915297,-0.346000801994523,0.000492549039687751,0.566718074201562,-0.0715994250138765,-0.407477380458611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"regeneration early","PR19",6,-1.43425892674568,-0.548893152671221,0.912594235540135,-0.223372255685676,-0.581006814099307,0.516848248341412,-0.298246819080855,-0.370241891403339,NA,NA,NA,0.472179562472767,-0.429261206290774,0.27140692747534,0.761472102826744,0.113042738517919,-0.251909779932219,0.364595200921055,-0.671918851456015,-0.304346078538288
"regeneration early","PR20",4,-0.341992908379125,-1.91250298896817,1.38229385460369,-0.284535716295574,-0.475086551078717,1.22545965378251,0.421938456979458,-0.365390896085382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"regeneration late","PR21",36,0.985794150144127,0.551567866013458,1.61049244195898,1.86892589709244,-0.425244448227436,0.623523569693004,-0.336621385199794,-0.330370601181013,0.453234139948094,-0.0633065401531045,-0.436881826627377,0.752539972251034,-0.457837984698734,0.117307063472868,1.31549705923649,0.705862277848119,-0.603961372135407,1.51820649357266,-0.308212978810292,1.39279809135209
"regeneration early","PR22",12,-1.65803184216741,-0.190596778206316,1.26192792738646,-0.0840206791510109,0.155485604891255,0.539746543673322,-0.165043743707468,-0.508147781153963,NA,NA,NA,0.759849727632907,-0.243710436610555,-0.0940152485429409,0.662745882303249,-0.69673026377174,0.126559531411088,0.868373121058805,-1.49961363002247,0.317102156077185
"regeneration early","PR23",1,-0.108926254334717,-1.01394859494252,1.21612750035261,-0.215947628573431,0.113320952542446,1.41935478753952,0.609671356938244,-0.230359251868148,NA,NA,NA,0.849072283662407,-0.0738160397407287,-0.501706570578645,0.579833930572483,-0.122537757476103,-0.670039829135791,NA,NA,NA
"regeneration late","PR24",21,-1.73246101435619,0.776220990724955,1.0107538717711,0.27291866923205,0.0721461894700575,0.824069743716098,-0.0971485826299624,-0.131412375702589,NA,NA,NA,0.770395096709085,-0.0605956204089126,-0.221623294370967,1.4325300112231,0.550828606667427,0.346797408123778,0.895231186579535,-0.0263444422297687,-0.761402625559511
"regeneration early","PR25",6,-0.334683297093072,-1.6640252784278,1.31615914040528,-0.206990346528499,-0.772076798128518,0.609525308416163,0.00213541994405787,-0.295963005627334,1.4085408301251,0.438791842519227,0.209194423618679,1.4152163629574,-0.673763663161046,1.2479969990578,0.879134752037534,0.00289207824112456,-0.955761920184576,NA,NA,NA
"regeneration late","PR26",28,0.161448270865555,-0.0581511793249421,1.12051797523308,0.361525891575665,-0.125551432209522,0.933901888637791,-0.259494164123668,-0.0344918697904887,NA,NA,NA,0.855207638375668,-0.311020945593662,0.179385513199183,1.3836889012778,-0.721760977562452,-0.281225986921905,NA,NA,NA
"regeneration late","PR27",27,-0.150812060107661,0.0256341190232008,0.762378094753038,0.654642237297518,-0.12154364998497,1.10395164379986,-0.429845226804334,-0.0861367362796796,NA,NA,NA,1.50252658933414,-0.30012742671096,1.17321053185758,0.923417280915654,-0.763278580230377,-0.459179838550608,NA,NA,NA
"regeneration early","PR29",6,-1.51245643884783,-0.292179109276605,1.15906898011852,-0.0536664540908125,0.642407728196395,1.06373906877809,-0.117205149323711,0.289291970583106,NA,NA,NA,0.760754394276272,-0.139172422778489,-0.0899397755425645,0.884104056502143,-0.0570465508591693,0.00498886008470908,NA,NA,NA
"regeneration late","PR30",15,-1.28813035969995,0.238694096652148,1.18469100942068,0.184928287053139,-0.252985742856352,0.610975752720121,-0.193169634923291,-0.562461721374772,NA,NA,NA,0.578198580454439,0.184848453739542,-0.597628374074957,0.825963431137523,-0.51977925810767,0.192974455325871,NA,NA,NA
"regeneration late","PR31",16,0.0378435862980663,0.624835845265231,1.58601320625786,1.79011232365673,-0.510634154923792,0.878230873870072,-0.510205279278875,-0.248815722490436,NA,NA,NA,0.609964976933241,0.396973459588994,-0.36935211270225,2.32647100647981,1.7451917796162,1.46893069597711,1.84681776686272,1.61216916810728,-0.707930208465238
"regeneration late","PR32",16,-0.563494592723398,0.0481307950274538,0.818454928960738,0.00865562845409508,0.212603869149424,0.493194693939192,-0.489013981675203,-0.358734639906937,0.546724440860094,-0.0897358234160606,0.135016712235405,0.951752172758434,0.0125003546998308,-0.711648177887551,1.1746515527017,0.00107105124888357,-0.252541979281809,NA,NA,NA
"regeneration early","PR33",1,-0.340748163541671,-1.47516951283621,1.34487386687581,-0.57331456941551,0.356672806310287,1.16780344276368,0.444363717345781,0.0546628607839926,0.645492682879759,0.427393440738134,-0.416262127755979,0.739188612116092,-0.169279497972895,-0.426375862111057,0.898048048195353,-0.813798794346628,0.189033549805596,NA,NA,NA
"regeneration late","PR34",38,0.700200900910285,1.29079515735648,0.71833686438547,0.243597044376386,-0.227339309636963,1.75624884375986,1.01465905009713,0.452892330625521,0.415540932411099,-0.164286936349404,-0.0470950294999166,0.892828582915249,-0.829459679371725,-0.0248424222187892,1.03464544352241,0.323902586740422,-0.448393351645831,0.417488900825142,-0.151821453713029,-0.386975427463319
"regeneration early","PR36",9,0.127856234085793,0.0840838422244011,1.125047249376,-0.288384706433127,0.34659213861097,1.63172977836304,0.23357127368709,-0.46664820155043,NA,NA,NA,1.30725362784015,-0.000444015433263389,0.59438762059244,0.642161928736876,-0.0403698733072554,-0.669866841196585,NA,NA,NA
