"Plot_ID","Species_name","RegTime","Treatment2","Treatment3"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG40","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG46","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG42","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG45","Inga_carinata",55,"old-growth forest","old-growth forest"
"OG45","Inga_carinata",55,"old-growth forest","old-growth forest"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR10","Inga_carinata",24,"cacao regeneration late","regeneration late"
"CR04","Inga_carinata",21,"cacao regeneration late","regeneration late"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR12","Inga_carinata",15,"cacao regeneration late","regeneration late"
"CR08","Inga_carinata",27,"cacao regeneration late","regeneration late"
"CR09","Inga_carinata",6,"cacao regeneration early","regeneration early"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"OG42","Inga_chocoensis",55,"old-growth forest","old-growth forest"
"CR14","Inga_chocoensis",38,"cacao regeneration late","regeneration late"
"CR14","Inga_chocoensis",38,"cacao regeneration late","regeneration late"
"PR26","Inga_chocoensis",28,"pasture regeneration late","regeneration late"
"PR32","Inga_chocoensis",16,"pasture regeneration late","regeneration late"
"PR26","Inga_chocoensis",28,"pasture regeneration late","regeneration late"
"PR24","Inga_chocoensis",21,"pasture regeneration late","regeneration late"
"PR24","Inga_chocoensis",21,"pasture regeneration late","regeneration late"
"PR26","Inga_chocoensis",28,"pasture regeneration late","regeneration late"
"CR11","Inga_hoja_blanca",23,"cacao regeneration late","regeneration late"
"CR04","Inga_hoja_blanca",21,"cacao regeneration late","regeneration late"
"CR09","Inga_hoja_blanca",6,"cacao regeneration early","regeneration early"
"CR09","Inga_hoja_blanca",6,"cacao regeneration early","regeneration early"
"CR09","Inga_hoja_blanca",6,"cacao regeneration early","regeneration early"
"CR09","Inga_hoja_blanca",6,"cacao regeneration early","regeneration early"
"CR05","Inga_hoja_blanca",12,"cacao regeneration early","regeneration early"
"OG47","Inga_nobilis",55,"old-growth forest","old-growth forest"
"OG50","Inga_nobilis",55,"old-growth forest","old-growth forest"
"OG50","Inga_nobilis",55,"old-growth forest","old-growth forest"
"OG48","Inga_nobilis",55,"old-growth forest","old-growth forest"
"OG47","Inga_nobilis",55,"old-growth forest","old-growth forest"
"CR11","Inga_nobilis",23,"cacao regeneration late","regeneration late"
"CR12","Inga_nobilis",15,"cacao regeneration late","regeneration late"
"CR12","Inga_nobilis",15,"cacao regeneration late","regeneration late"
"CR10","Inga_nobilis",24,"cacao regeneration late","regeneration late"
"CR11","Inga_nobilis",23,"cacao regeneration late","regeneration late"
"CR10","Inga_nobilis",24,"cacao regeneration late","regeneration late"
"CR12","Inga_nobilis",15,"cacao regeneration late","regeneration late"
"CR11","Inga_nobilis",23,"cacao regeneration late","regeneration late"
"PR27","Inga_nobilis",27,"pasture regeneration late","regeneration late"
"PR27","Inga_nobilis",27,"pasture regeneration late","regeneration late"
"PR27","Inga_nobilis",27,"pasture regeneration late","regeneration late"
"PR32","Inga_nobilis",16,"pasture regeneration late","regeneration late"
"PR27","Inga_nobilis",27,"pasture regeneration late","regeneration late"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG45","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"OG52","Inga_silanchensis",55,"old-growth forest","old-growth forest"
"CR07","Inga_silanchensis",23,"cacao regeneration late","regeneration late"
"CR10","Inga_silanchensis",24,"cacao regeneration late","regeneration late"
"PR21","Inga_silanchensis",36,"pasture regeneration late","regeneration late"
"PR31","Inga_silanchensis",16,"pasture regeneration late","regeneration late"
"PR21","Inga_silanchensis",36,"pasture regeneration late","regeneration late"
"OG42","Inga_sp11",55,"old-growth forest","old-growth forest"
"OG42","Inga_sp11",55,"old-growth forest","old-growth forest"
"OG52","Inga_sp2",55,"old-growth forest","old-growth forest"
"OG51","Inga_sp2",55,"old-growth forest","old-growth forest"
"OG52","Inga_sp2",55,"old-growth forest","old-growth forest"
"OG52","Inga_sp2",55,"old-growth forest","old-growth forest"
"CR10","Inga_sp2",24,"cacao regeneration late","regeneration late"
"CR08","Inga_sp2",27,"cacao regeneration late","regeneration late"
"PR26","Inga_sp2",28,"pasture regeneration late","regeneration late"
"PR26","Inga_sp2",28,"pasture regeneration late","regeneration late"
"PR26","Inga_sp2",28,"pasture regeneration late","regeneration late"
"PR34","Inga_sp2",38,"pasture regeneration late","regeneration late"
"PR34","Inga_sp2",38,"pasture regeneration late","regeneration late"
"PR26","Inga_sp2",28,"pasture regeneration late","regeneration late"
"OG46","Inga_sp4",55,"old-growth forest","old-growth forest"
"OG45","Inga_sp4",55,"old-growth forest","old-growth forest"
"CR10","Inga_sp4",24,"cacao regeneration late","regeneration late"
"CR02","Inga_sp7",8,"cacao regeneration early","regeneration early"
"CR02","Inga_sp7",8,"cacao regeneration early","regeneration early"
"OG42","Inga_sp8",55,"old-growth forest","old-growth forest"
"OG42","Inga_sp8",55,"old-growth forest","old-growth forest"
"OG42","Inga_sp8",55,"old-growth forest","old-growth forest"
"OG42","Inga_sp8",55,"old-growth forest","old-growth forest"
"CR08","Inga_sp8",27,"cacao regeneration late","regeneration late"
"CR08","Inga_sp8",27,"cacao regeneration late","regeneration late"
"CR08","Inga_sp8",27,"cacao regeneration late","regeneration late"
"CR08","Inga_sp8",27,"cacao regeneration late","regeneration late"
"CR10","Inga_sp8",24,"cacao regeneration late","regeneration late"
"CR12","Inga_sp8",15,"cacao regeneration late","regeneration late"
"PR26","Inga_sp8",28,"pasture regeneration late","regeneration late"
"PR27","Inga_sp8",27,"pasture regeneration late","regeneration late"
"PR27","Inga_sp8",27,"pasture regeneration late","regeneration late"
"PR26","Inga_sp8",28,"pasture regeneration late","regeneration late"
"PR26","Inga_sp8",28,"pasture regeneration late","regeneration late"
"PR27","Inga_sp8",27,"pasture regeneration late","regeneration late"
"CR04","Inga_venusta",21,"cacao regeneration late","regeneration late"
"CR04","Inga_venusta",21,"cacao regeneration late","regeneration late"
"CR06","Inga_venusta",33,"cacao regeneration late","regeneration late"
"CR04","Inga_venusta",21,"cacao regeneration late","regeneration late"
"PR26","Inga_venusta",28,"pasture regeneration late","regeneration late"
"PR26","Inga_venusta",28,"pasture regeneration late","regeneration late"
"PR26","Inga_venusta",28,"pasture regeneration late","regeneration late"
"OG40","Inga_vera",55,"old-growth forest","old-growth forest"
"OG42","iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG52","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG45","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG46","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG42","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG43","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"OG49","Iriartea_deltoidea",55,"old-growth forest","old-growth forest"
"CR10","Iriartea_deltoidea",24,"cacao regeneration late","regeneration late"
"CR10","Iriartea_deltoidea",24,"cacao regeneration late","regeneration late"
"CR10","Iriartea_deltoidea",24,"cacao regeneration late","regeneration late"
"CR14","Iriartea_deltoidea",38,"cacao regeneration late","regeneration late"
"CR10","Iriartea_deltoidea",24,"cacao regeneration late","regeneration late"
"CR10","Iriartea_deltoidea",24,"cacao regeneration late","regeneration late"
"PR27","Iriartea_deltoidea",27,"pasture regeneration late","regeneration late"
"PR34","Iriartea_deltoidea",38,"pasture regeneration late","regeneration late"
"PR26","Isertia_pittieri",28,"pasture regeneration late","regeneration late"
"OG46","Jacaranda_copaia",55,"old-growth forest","old-growth forest"
"OG49","Jacaranda_copaia",55,"old-growth forest","old-growth forest"
"OG49","Jacaranda_copaia",55,"old-growth forest","old-growth forest"
"OG49","Jacaranda_copaia",55,"old-growth forest","old-growth forest"
"OG49","Jacaranda_copaia",55,"old-growth forest","old-growth forest"
"OG46","Macrolobium_ischnocalyx",55,"old-growth forest","old-growth forest"
"OG46","Macrolobium_ischnocalyx",55,"old-growth forest","old-growth forest"
"OG46","Macrolobium_ischnocalyx",55,"old-growth forest","old-growth forest"
"OG50","Madrono",55,"old-growth forest","old-growth forest"
"CR11","Madrono",23,"cacao regeneration late","regeneration late"
"CR13","Matisia_malacocalyx",1,"cacao regeneration early","regeneration early"
"OG45","Matisia_palenquiana",55,"old-growth forest","old-growth forest"
"OG45","Matisia_palenquiana",55,"old-growth forest","old-growth forest"
"OG41","Matisia_palenquiana",55,"old-growth forest","old-growth forest"
"OG38","Matisia_palenquiana",55,"old-growth forest","old-growth forest"
"CR14","Matisia_palenquiana",38,"cacao regeneration late","regeneration late"
"CR05","Matisia_sp2",12,"cacao regeneration early","regeneration early"
"PR34","Melas_bate_obase",38,"pasture regeneration late","regeneration late"
"CR05","Melas_cafe",12,"cacao regeneration early","regeneration early"
"CR05","Melas_cafe",12,"cacao regeneration early","regeneration early"
"CR05","Melas_cafe",12,"cacao regeneration early","regeneration early"
"CR01","Melas_cafe",6,"cacao regeneration early","regeneration early"
"CR05","Melas_cafe",12,"cacao regeneration early","regeneration early"
"CR18","Melas_purple",10,"cacao regeneration early","regeneration early"
"OG38","Melas_separated_nerve",55,"old-growth forest","old-growth forest"
"OG45","Melas_separated_nerve",55,"old-growth forest","old-growth forest"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR16","Melas_separated_nerve",8,"cacao regeneration early","regeneration early"
"CR14","Melas",38,"cacao regeneration late","regeneration late"
"CR01","Melastomataceae",6,"cacao regeneration early","regeneration early"
"CR14","Miconia_'alargadapeciolorosado'",38,"cacao regeneration late","regeneration late"
"CR14","Miconia_'alargadapeciolorosado'",38,"cacao regeneration late","regeneration late"
"CR14","Miconia_'alargadapeciolorosado'",38,"cacao regeneration late","regeneration late"
"PA55","Miconia_affinis",0,"active pasture","regeneration early"
"PA55","Miconia_affinis",0,"active pasture","regeneration early"
"PA55","Miconia_affinis",0,"active pasture","regeneration early"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"CR11","Miconia_affinis",23,"cacao regeneration late","regeneration late"
"PR31","Miconia_affinis",16,"pasture regeneration late","regeneration late"
"PR26","Miconia_affinis",28,"pasture regeneration late","regeneration late"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"CR09","Miconia_affinis",6,"cacao regeneration early","regeneration early"
"OG39","Miconia_conocuatrecasii",55,"old-growth forest","old-growth forest"
"CR12","Miconia_conocuatrecasii",15,"cacao regeneration late","regeneration late"
"CR12","Miconia_conocuatrecasii",15,"cacao regeneration late","regeneration late"
"CR12","Miconia_conocuatrecasii",15,"cacao regeneration late","regeneration late"
"PR30","Miconia_conocuatrecasii",15,"pasture regeneration late","regeneration late"
"CR17","Miconia_conocuatrecasii",9,"cacao regeneration early","regeneration early"
"PR22","Miconia_conocuatrecasii",12,"pasture regeneration early","regeneration early"
"PR22","Miconia_conocuatrecasii",12,"pasture regeneration early","regeneration early"
"PR22","Miconia_conocuatrecasii",12,"pasture regeneration early","regeneration early"
"PR22","Miconia_conocuatrecasii",12,"pasture regeneration early","regeneration early"
"PR22","Miconia_conocuatrecasii",12,"pasture regeneration early","regeneration early"
"CR18","Miconia_dorsiloba",10,"cacao regeneration early","regeneration early"
"CR18","Miconia_dorsiloba",10,"cacao regeneration early","regeneration early"
"CR18","Miconia_dorsiloba",10,"cacao regeneration early","regeneration early"
"CR18","Miconia_dorsiloba",10,"cacao regeneration early","regeneration early"
"OG46","Miconia_laxivenula",55,"old-growth forest","old-growth forest"
"OG46","Miconia_laxivenula",55,"old-growth forest","old-growth forest"
"CR01","Miconia_laxivenula",6,"cacao regeneration early","regeneration early"
"OG41","Mollia_lepidota",55,"old-growth forest","old-growth forest"
"OG50","Mollia_lepidota",55,"old-growth forest","old-growth forest"
"OG52","Moraceae_sp2",55,"old-growth forest","old-growth forest"
"CR14","Moraceae",38,"cacao regeneration late","regeneration late"
"OG43","Morph005",55,"old-growth forest","old-growth forest"
"OG43","Morph005",55,"old-growth forest","old-growth forest"
"OG46","Morph005",55,"old-growth forest","old-growth forest"
"OG28","Morph005",55,"old-growth forest","old-growth forest"
"PR26","Morph007",28,"pasture regeneration late","regeneration late"
"PR26","Morph007",28,"pasture regeneration late","regeneration late"
"PR21","Morph007",36,"pasture regeneration late","regeneration late"
"CR09","Morph007",6,"cacao regeneration early","regeneration early"
"OG38","Morph011",55,"old-growth forest","old-growth forest"
"OG49","Morph011",55,"old-growth forest","old-growth forest"
"OG46","Morph011",55,"old-growth forest","old-growth forest"
"OG39","Morph011",55,"old-growth forest","old-growth forest"
"OG39","Morph011",55,"old-growth forest","old-growth forest"
"PR21","Morph011",36,"pasture regeneration late","regeneration late"
"OG49","Morph013",55,"old-growth forest","old-growth forest"
"OG52","Morph013",55,"old-growth forest","old-growth forest"
"CR11","Morph013",23,"cacao regeneration late","regeneration late"
"OG46","Morph046",55,"old-growth forest","old-growth forest"
"CR10","Morph049",24,"cacao regeneration late","regeneration late"
"OG52","Morph064",55,"old-growth forest","old-growth forest"
"OG52","Morph064",55,"old-growth forest","old-growth forest"
"OG50","Morph064",55,"old-growth forest","old-growth forest"
"OG52","Morph064",55,"old-growth forest","old-growth forest"
"OG52","Morph064",55,"old-growth forest","old-growth forest"
"OG49","Morph064",55,"old-growth forest","old-growth forest"
"OG39","Morph064",55,"old-growth forest","old-growth forest"
"OG37","Morph064",55,"old-growth forest","old-growth forest"
"OG52","Morph064",55,"old-growth forest","old-growth forest"
"OG45","Morph064",55,"old-growth forest","old-growth forest"
"CR10","Morph064",24,"cacao regeneration late","regeneration late"
"PR21","Morph068",36,"pasture regeneration late","regeneration late"
"PR21","Morph069",36,"pasture regeneration late","regeneration late"
"OG42","Morph090",55,"old-growth forest","old-growth forest"
"OG38","Morph090",55,"old-growth forest","old-growth forest"
"OG38","Morph090",55,"old-growth forest","old-growth forest"
"OG40","Morph090",55,"old-growth forest","old-growth forest"
"OG39","Morph091?",55,"old-growth forest","old-growth forest"
"OG52","Morph104",55,"old-growth forest","old-growth forest"
"OG52","Morph104",55,"old-growth forest","old-growth forest"
"OG41","Morph104",55,"old-growth forest","old-growth forest"
"OG52","Morph104",55,"old-growth forest","old-growth forest"
"CR10","Morph109",24,"cacao regeneration late","regeneration late"
"PR21","Morph109",36,"pasture regeneration late","regeneration late"
"OG50","Morph110",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG38","Morph112",55,"old-growth forest","old-growth forest"
"OG45","Morph112",55,"old-growth forest","old-growth forest"
"OG39","Morph113",55,"old-growth forest","old-growth forest"
"OG52","Morph121",55,"old-growth forest","old-growth forest"
"OG41","Morph124",55,"old-growth forest","old-growth forest"
"OG37","Morph128",55,"old-growth forest","old-growth forest"
"CR01","Morph128",6,"cacao regeneration early","regeneration early"
"OG41","Morph130",55,"old-growth forest","old-growth forest"
"OG39","Morph131",55,"old-growth forest","old-growth forest"
"OG45","Morph135",55,"old-growth forest","old-growth forest"
"CR02","Morph135",8,"cacao regeneration early","regeneration early"
"OG42","Morph138",55,"old-growth forest","old-growth forest"
"OG42","Morph138",55,"old-growth forest","old-growth forest"
"OG42","Morph138",55,"old-growth forest","old-growth forest"
"OG38","Morph140",55,"old-growth forest","old-growth forest"
"PR21","Morph140",36,"pasture regeneration late","regeneration late"
"PR21","Morph140",36,"pasture regeneration late","regeneration late"
"PR21","Morph140",36,"pasture regeneration late","regeneration late"
"OG42","Morph141",55,"old-growth forest","old-growth forest"
"OG42","Morph141",55,"old-growth forest","old-growth forest"
"OG42","Morph141",55,"old-growth forest","old-growth forest"
"OG38","Morph142",55,"old-growth forest","old-growth forest"
"OG38","Morph142",55,"old-growth forest","old-growth forest"
"OG38","Morph143",55,"old-growth forest","old-growth forest"
"OG43","Morph144",55,"old-growth forest","old-growth forest"
"OG50","Morph144",55,"old-growth forest","old-growth forest"
"OG49","Morph144",55,"old-growth forest","old-growth forest"
"OG49","Morph144",55,"old-growth forest","old-growth forest"
"OG28","Morph144",55,"old-growth forest","old-growth forest"
"OG28","Morph144",55,"old-growth forest","old-growth forest"
"OG28","Morph144",55,"old-growth forest","old-growth forest"
"OG41","Morph145",55,"old-growth forest","old-growth forest"
"PR31","Morph146",16,"pasture regeneration late","regeneration late"
"PR26","Morph147",28,"pasture regeneration late","regeneration late"
"CR11","Morph148",23,"cacao regeneration late","regeneration late"
"OG52","Morph149",55,"old-growth forest","old-growth forest"
"OG38","Morph150",55,"old-growth forest","old-growth forest"
"OG38","Morph151",55,"old-growth forest","old-growth forest"
"CR01","Morph151",6,"cacao regeneration early","regeneration early"
"CR01","Morph151",6,"cacao regeneration early","regeneration early"
"OG28","Morph152",55,"old-growth forest","old-growth forest"
"OG28","Morph152",55,"old-growth forest","old-growth forest"
"OG52","Morph153",55,"old-growth forest","old-growth forest"
"PR24","Morph154",21,"pasture regeneration late","regeneration late"
"CR12","Morph155",15,"cacao regeneration late","regeneration late"
"OG40","Morph156",55,"old-growth forest","old-growth forest"
"OG40","Morph157",55,"old-growth forest","old-growth forest"
"CR08","Morph158",27,"cacao regeneration late","regeneration late"
"OG43","Morph159",55,"old-growth forest","old-growth forest"
"OG50","Morph160",55,"old-growth forest","old-growth forest"
"OG28","Morph161",55,"old-growth forest","old-growth forest"
"OG52","NA_OG52-87",55,"old-growth forest","old-growth forest"
"OG52","NA_OG52-87",55,"old-growth forest","old-growth forest"
"OG52","NA_OG52-87",55,"old-growth forest","old-growth forest"
"OG52","NA_OG52-87",55,"old-growth forest","old-growth forest"
"CA62",NA,0,"active cacao","regeneration early"
"CR09",NA,6,"cacao regeneration early","regeneration early"
"CR14","Ocotea_sp5",38,"cacao regeneration late","regeneration late"
"PR26","Ocotea_sp5",28,"pasture regeneration late","regeneration late"
"PR26","Ocotea_sp5",28,"pasture regeneration late","regeneration late"
"OG49","Otoba_nomarron",55,"old-growth forest","old-growth forest"
"OG52","Otoba_nomarron",55,"old-growth forest","old-growth forest"
"CR08","Otoba_nomarron",27,"cacao regeneration late","regeneration late"
"CR08","Otoba_nomarron",27,"cacao regeneration late","regeneration late"
"CR08","Otoba_nomarron",27,"cacao regeneration late","regeneration late"
"CR08","Otoba_nomarron",27,"cacao regeneration late","regeneration late"
"CR08","Otoba_nomarron",27,"cacao regeneration late","regeneration late"
"CR13","Otoba_nomarron",1,"cacao regeneration early","regeneration early"
"OG50","Otoba_novogranatensis",55,"old-growth forest","old-growth forest"
"OG41","Otoba_novogranatensis",55,"old-growth forest","old-growth forest"
"OG38","Otoba_novogranatensis",55,"old-growth forest","old-growth forest"
"OG50","Otoba_novogranatensis",55,"old-growth forest","old-growth forest"
"OG41","Otoba_novogranatensis",55,"old-growth forest","old-growth forest"
"CR09","Otoba_novogranatensis",6,"cacao regeneration early","regeneration early"
"PR30","Otoba_sp1",15,"pasture regeneration late","regeneration late"
"OG38","Palicourea_guianensis",55,"old-growth forest","old-growth forest"
"CR04","Palicourea_palenquensis",21,"cacao regeneration late","regeneration late"
"OG45","Palicourea_timbiquensis",55,"old-growth forest","old-growth forest"
"OG45","Palicourea_timbiquensis",55,"old-growth forest","old-growth forest"
"CR11","Palicourea_timbiquensis",23,"cacao regeneration late","regeneration late"
"CR11","Palicourea_timbiquensis",23,"cacao regeneration late","regeneration late"
"CR11","Palicourea_timbiquensis",23,"cacao regeneration late","regeneration late"
"CR09","Parkia_multijuga",6,"cacao regeneration early","regeneration early"
"CR10","Parkia_sp",24,"cacao regeneration late","regeneration late"
"OG45","Paullinia_sp",55,"old-growth forest","old-growth forest"
"CR14","Paullinia_sp",38,"cacao regeneration late","regeneration late"
"OG42","Perebea_sp2",55,"old-growth forest","old-growth forest"
"OG50","Perebea_sp2",55,"old-growth forest","old-growth forest"
"OG50","Perebea_sp2",55,"old-growth forest","old-growth forest"
"OG49","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"OG52","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"OG49","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"OG44","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"OG49","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"OG52","Perebea_xanthochyma",55,"old-growth forest","old-growth forest"
"CR11","Perebea_xanthochyma",23,"cacao regeneration late","regeneration late"
"CR11","Perebea_xanthochyma",23,"cacao regeneration late","regeneration late"
"PR26","Perebea_xanthochyma",28,"pasture regeneration late","regeneration late"
"PR26","Perebea_xanthochyma",28,"pasture regeneration late","regeneration late"
"OG41","Pleuranthodendron_lindenii",55,"old-growth forest","old-growth forest"
"OG46","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG51","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG45","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG46","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG44","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG49","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG42","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG45","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG51","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG39","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG42","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"OG45","Pourouma_bicolor",55,"old-growth forest","old-growth forest"
"CR06","Pourouma_bicolor",33,"cacao regeneration late","regeneration late"
"CR06","Pourouma_bicolor",33,"cacao regeneration late","regeneration late"
"PR21","Pourouma_bicolor",36,"pasture regeneration late","regeneration late"
"PR34","Pourouma_bicolor",38,"pasture regeneration late","regeneration late"
"OG40","Pourouma_minor",55,"old-growth forest","old-growth forest"
"OG48","Pourouma_sp2",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG50","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG42","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG45","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG48","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG42","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG50","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG45","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG45","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG45","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG42","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG46","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
"OG49","Prestoea_ensiformis",55,"old-growth forest","old-growth forest"
